:123 lhs, fn, arg1, arg2 =  р c U i 0
:123 lhs, fn, arg1, arg2 =  с c р f 0
:123 lhs, fn, arg1, arg2 =  т d с a 0
:123 lhs, fn, arg1, arg2 =  у d Ё a 0
:123 lhs, fn, arg1, arg2 =  т c т у 0
:123 lhs, fn, arg1, arg2 =  т c т о 0
:123 lhs, fn, arg1, arg2 =  ф c Т f 0
:123 lhs, fn, arg1, arg2 =  х d ф a 0
:123 lhs, fn, arg1, arg2 =  т c т х 0
:123 lhs, fn, arg1, arg2 =  т c т к 0
:123 lhs, fn, arg1, arg2 =  т c т н 0
:123 lhs, fn, arg1, arg2 =  т c т м 0
:123 lhs, fn, arg1, arg2 =  ц d с a 0
:123 lhs, fn, arg1, arg2 =  т c т ц 0
:123 lhs, fn, arg1, arg2 =  т c т к 0
:123 lhs, fn, arg1, arg2 =  т c т у 0
:123 lhs, fn, arg1, arg2 =  т c т н 0
:123 lhs, fn, arg1, arg2 =  ч a a т 0
:123 lhs, fn, arg1, arg2 =  ш d Я a 0
:123 lhs, fn, arg1, arg2 =  щ c й i 0
:123 lhs, fn, arg1, arg2 =  ъ c щ f 0
:123 lhs, fn, arg1, arg2 =  ы d ъ a 0
:123 lhs, fn, arg1, arg2 =  ь c ж ы 0
:123 lhs, fn, arg1, arg2 =  э c V f 0
:123 lhs, fn, arg1, arg2 =  ю d э a 0
:123 lhs, fn, arg1, arg2 =  ь c ь ю 0
:123 lhs, fn, arg1, arg2 =  ь c ь о 0
:123 lhs, fn, arg1, arg2 =  я d Л a 0
:123 lhs, fn, arg1, arg2 =  ь c ь я 0
:123 lhs, fn, arg1, arg2 =  ь c ь у 0
:123 lhs, fn, arg1, arg2 =  ь c ь ы 0
:123 lhs, fn, arg1, arg2 =  ѐ ч ш ь 0
:123 lhs, fn, arg1, arg2 =  ё ѐ ш ш 0
:123 lhs, fn, arg1, arg2 =  ђ c O f 0
:123 lhs, fn, arg1, arg2 =  ѓ d ђ a 0
:123 lhs, fn, arg1, arg2 =  ѓ c ѓ н 0
:123 lhs, fn, arg1, arg2 =  ѓ c ѓ н 0
:123 lhs, fn, arg1, arg2 =  є c U f 0
:123 lhs, fn, arg1, arg2 =  ѕ d є a 0
:123 lhs, fn, arg1, arg2 =  ѓ c ѓ ѕ 0
:123 lhs, fn, arg1, arg2 =  і c Я f 0
:123 lhs, fn, arg1, arg2 =  ї d і a 0
